Ingredient 1,Ingredient 2,Ingredient 3,Classification Output
Chickpeas,Chickpeas,Tomato,Compatible
Chickpeas,Mango,Cilantro,Compatible
Chickpeas,Blueberries,Almond Butter,Compatible
Chickpeas,Bell Pepper,Hummus,Compatible
Chickpeas,Shrimp,Garlic,Compatible
Shrimp,Lemon,Garlic,Compatible
Shrimp,Lime,Cilantro,Compatible
Shrimp,Lemon,Butter,Compatible
Shrimp,Tomato,Basil,Compatible
Shrimp,Avocado,Lime,Compatible
Shrimp,Shrimp,Garlic,Compatible
Shrimp,Mango,Teriyaki Glaze,Compatible
Shrimp,Coconut Milk,Curry,Compatible
Shrimp,Pineapple,Lime,Compatible
Shrimp,Lemon,Dill,Compatible
Blueberries,Greek Yogurt,Honey,Compatible
Blueberries,Almond Milk,Oats,Compatible
Blueberries,Banana,Vanilla Yogurt,Compatible
Blueberries,Blueberries,Raspberry,Compatible
Blueberries,Vanilla Extract,Coconut Milk,Compatible
Blueberries,Blueberries,Yogurt,Compatible
Blueberries,Spinach,Almond Butter,Compatible
Blueberries,Pomegranate Seeds,Quinoa,Compatible
Blueberries,Cucumber,Lime,Compatible
Blueberries,Mango,Avocado,Compatible
Potato,Rosemary,Garlic,Highly Compatible
Potato,Olive Oil,Thyme,Highly Compatible
Potato,Parmesan Cheese,Broccoli,Highly Compatible
Potato,Cheddar Cheese,Bacon,Highly Compatible
Potato,Sour Cream,Chives,Highly Compatible
Potato,Mushrooms,Onions,Highly Compatible
Potato,Garlic,Paprika,Highly Compatible
Potato,Dill,Lemon,Highly Compatible
Potato,Tomato,Basil,Highly Compatible
Potato,Cumin,Coriander,Highly Compatible
Potato,Rosemary,Lemon,Highly Compatible
Potato,Cilantro,Lime,Highly Compatible
Potato,Garlic,Parmesan Cheese,Highly Compatible
Potato,Bacon,Ranch Dressing,Highly Compatible
Potato,BBQ Sauce,Green Onions,Highly Compatible
Potato,Cumin,Paprika,Moderately Compatible
Potato,Rosemary,Brown Butter,Moderately Compatible
Potato,Cheddar Cheese,Jalapeno,Moderately Compatible
Potato,Bell Pepper,Corn,Moderately Compatible
Potato,Parmesan Cheese,Spinach,Moderately Compatible
Potato,Tomato,Oregano,Moderately Compatible
Potato,Garlic,Soy Sauce,Moderately Compatible
Potato,Thyme,Lemon,Moderately Compatible
Potato,Garlic,Mushrooms,Moderately Compatible
Potato,BBQ Sauce,Chicken,Moderately Compatible
Potato,Brown Sugar,Cinnamon,Moderately Compatible
Potato,Pesto,Sun-Dried Tomatoes,Moderately Compatible
Potato,Cilantro,Coconut Milk,Moderately Compatible
Potato,Blue Cheese,Walnuts,Moderately Compatible
Potato,Maple Syrup,Bacon,Moderately Compatible
Potato,Butter,Parsley,Compatible
Potato,Olive Oil,Rosemary,Compatible
Potato,Lemon,Dijon Mustard,Compatible
Potato,Honey,Mustard,Compatible
Potato,Garlic,Onion Powder,Compatible
Potato,Thyme,Basil,Compatible
Potato,Parmesan Cheese,Black Pepper,Compatible
Potato,Paprika,Garlic Powder,Compatible
Potato,Cilantro,Lime,Compatible
Potato,Sour Cream,Green Onions,Compatible
Potato,Tomato,Bell Pepper,Compatible
Potato,BBQ Sauce,Pineapple,Compatible
Potato,Garlic,Chives,Compatible
Potato,Cheddar Cheese,Broccoli,Compatible
